App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
"FizzBuzz	",utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_bird\devst_awaji_bird\src\test\java\features\bird\FizzBuzzTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_bird\devst_awaji_bird\src\main\java\features\bird\FizzBuzz.java,devst_devst_awaji_bird/devst_awaji_bird/src/test/java/features/bird/FizzBuzzTest.java,devst_devst_awaji_bird/devst_awaji_bird/src/main/java/features/bird/FizzBuzz.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,true,false,false,false,false,true,false
Calclater,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_elephant\devst_awaji_elephant\src\test\java\features\elephant\CalclaterTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_elephant\devst_awaji_elephant\src\main\java\features\elephant\Calculator.java,devst_devst_awaji_elephant/devst_awaji_elephant/src/test/java/features/elephant/CalclaterTest.java,devst_devst_awaji_elephant/devst_awaji_elephant/src/main/java/features/elephant/Calculator.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
FizzBuzz2,utility,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_giraffe\devst_awaji_giraffe\src\test\java\features\giraffe\FizzBuzzTest.java,D:\ryosuke-ku\data_set\Git_20161108\utility\devst_devst_awaji_giraffe\devst_awaji_giraffe\src\main\java\features\giraffe\FizzBuzz.java,devst_devst_awaji_giraffe/devst_awaji_giraffe/src/test/java/features/giraffe/FizzBuzzTest.java,devst_devst_awaji_giraffe/devst_awaji_giraffe/src/main/java/features/giraffe/FizzBuzz.java,true,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
