App,Version,TestFilePath,ProductionFilePath,RelativeTestFilePath,RelativeProductionFilePath,Assertion Roulette,Conditional Test Logic,Constructor Initialization,Default Test,EmptyTest,Exception Catching Throwing,General Fixture,Mystery Guest,Print Statement,Redundant Assertion,Sensitive Equality,Verbose Test,Sleepy Test,Eager Test,Lazy Test,Duplicate Assert,Unknown Test,IgnoredTest,Resource Optimism,Magic Number Test,Dependent Test
droolsjbpm_guvnor,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_guvnor\guvnor\guvnor-structure\guvnor-structure-client\src\test\java\org\guvnor\structure\client\editors\repository\edit\RepositoryEditorPresenterTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_guvnor\guvnor\guvnor-structure\guvnor-structure-client\src\main\java\org\guvnor\structure\client\editors\repository\edit\RepositoryEditorPresenter.java,droolsjbpm_guvnor/guvnor/guvnor-structure/guvnor-structure-client/src/test/java/org/guvnor/structure/client/editors/repository/edit/RepositoryEditorPresenterTest.java,droolsjbpm_guvnor/guvnor/guvnor-structure/guvnor-structure-client/src/main/java/org/guvnor/structure/client/editors/repository/edit/RepositoryEditorPresenter.java,false,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,false
DSpace_DSpace,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\DSpace_DSpace\DSpace\dspace-api\src\test\java\org\dspace\core\I18nUtilTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\DSpace_DSpace\DSpace\dspace-api\src\main\java\org\dspace\core\I18nUtil.java,DSpace_DSpace/DSpace/dspace-api/src/test/java/org/dspace/core/I18nUtilTest.java,DSpace_DSpace/DSpace/dspace-api/src/main/java/org/dspace/core/I18nUtil.java,false,false,true,false,false,false,false,false,true,false,false,false,false,true,true,false,false,false,false,false,false
dzo_frameworks_base,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dzo_frameworks_base\frameworks_base\core\tests\coretests\src\android\app\activity\ActivityManagerTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dzo_frameworks_base\frameworks_base\core\java\android\app\ActivityManager.java,dzo_frameworks_base/frameworks_base/core/tests/coretests/src/android/app/activity/ActivityManagerTest.java,dzo_frameworks_base/frameworks_base/core/java/android/app/ActivityManager.java,true,true,false,false,false,true,false,false,false,false,false,false,false,false,true,false,true,false,false,false,false
dzo_frameworks_base,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dzo_frameworks_base\frameworks_base\core\tests\coretests\src\android\view\menu\MenuWith1ItemTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dzo_frameworks_base\frameworks_base\core\tests\coretests\src\android\view\menu\MenuWith1Item.java,dzo_frameworks_base/frameworks_base/core/tests/coretests/src/android/view/menu/MenuWith1ItemTest.java,dzo_frameworks_base/frameworks_base/core/tests/coretests/src/android/view/menu/MenuWith1Item.java,true,false,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,false,false,false
dolfdijkstra_gst-foundation,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dolfdijkstra_gst-foundation\gst-foundation\gsf-legacy\src\test\java\com\fatwire\gst\foundation\controller\annotation\ControllerMappingResolverTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dolfdijkstra_gst-foundation\gst-foundation\gsf-legacy\src\main\java\com\fatwire\gst\foundation\controller\annotation\ControllerMappingResolver.java,dolfdijkstra_gst-foundation/gst-foundation/gsf-legacy/src/test/java/com/fatwire/gst/foundation/controller/annotation/ControllerMappingResolverTest.java,dolfdijkstra_gst-foundation/gst-foundation/gsf-legacy/src/main/java/com/fatwire/gst/foundation/controller/annotation/ControllerMappingResolver.java,false,false,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,true,false
datasift_dropwizard-extra,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\datasift_dropwizard-extra\dropwizard-extra\dropwizard-extra-hbase\src\test\java\com\datasift\dropwizard\hbase\HBaseClientProxyTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\datasift_dropwizard-extra\dropwizard-extra\dropwizard-extra-hbase\src\main\java\com\datasift\dropwizard\hbase\HBaseClientProxy.java,datasift_dropwizard-extra/dropwizard-extra/dropwizard-extra-hbase/src/test/java/com/datasift/dropwizard/hbase/HBaseClientProxyTest.java,datasift_dropwizard-extra/dropwizard-extra/dropwizard-extra-hbase/src/main/java/com/datasift/dropwizard/hbase/HBaseClientProxy.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
droolsjbpm_drools,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-core\src\test\java\org\drools\core\base\FieldFactoryTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\droolsjbpm_drools\drools\drools-core\src\main\java\org\drools\core\base\FieldFactory.java,droolsjbpm_drools/drools/drools-core/src/test/java/org/drools/core/base/FieldFactoryTest.java,droolsjbpm_drools/drools/drools-core/src/main/java/org/drools/core/base/FieldFactory.java,true,false,false,false,false,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false
davros-_platform_frameworks_base,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\davros-_platform_frameworks_base\platform_frameworks_base\core\tests\coretests\src\android\text\format\TimeTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\davros-_platform_frameworks_base\platform_frameworks_base\core\java\android\text\format\Time.java,davros-_platform_frameworks_base/platform_frameworks_base/core/tests/coretests/src/android/text/format/TimeTest.java,davros-_platform_frameworks_base/platform_frameworks_base/core/java/android/text/format/Time.java,false,true,false,false,false,true,false,false,false,false,false,false,false,true,true,true,true,false,false,false,false
dluebke_BPELUnit,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dluebke_BPELUnit\BPELUnit\net.bpelunit.framework.control.deploy.activevos9\src\test\java\net\bpelunit\framework\control\deploy\activevos9\ActiveVOSAdministrativeFunctionsTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\dluebke_BPELUnit\BPELUnit\net.bpelunit.framework.control.deploy.activevos9\src\main\java\net\bpelunit\framework\control\deploy\activevos9\ActiveVOSAdministrativeFunctions.java,dluebke_BPELUnit/BPELUnit/net.bpelunit.framework.control.deploy.activevos9/src/test/java/net/bpelunit/framework/control/deploy/activevos9/ActiveVOSAdministrativeFunctionsTest.java,dluebke_BPELUnit/BPELUnit/net.bpelunit.framework.control.deploy.activevos9/src/main/java/net/bpelunit/framework/control/deploy/activevos9/ActiveVOSAdministrativeFunctions.java,true,false,false,false,false,true,false,false,false,false,false,false,false,false,false,true,false,false,false,true,false
DawnScience_scisoft-core,ABCD,D:\ryosuke-ku\data_set\Git_20161108\ABCD\DawnScience_scisoft-core\scisoft-core\uk.ac.diamond.scisoft.analysis.test\src\uk\ac\diamond\scisoft\analysis\fitting\functions\ParameterTest.java,D:\ryosuke-ku\data_set\Git_20161108\ABCD\DawnScience_scisoft-core\scisoft-core\uk.ac.diamond.scisoft.analysis\src\uk\ac\diamond\scisoft\analysis\fitting\functions\Parameter.java,DawnScience_scisoft-core/scisoft-core/uk.ac.diamond.scisoft.analysis.test/src/uk/ac/diamond/scisoft/analysis/fitting/functions/ParameterTest.java,DawnScience_scisoft-core/scisoft-core/uk.ac.diamond.scisoft.analysis/src/uk/ac/diamond/scisoft/analysis/fitting/functions/Parameter.java,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,false,false,false,false,true,false
